city,name_chinese,name_english,address,category_2,category_1,number
Rowland Hts.,阿蓮鴛鴦麻辣火鍋,AHLIER RESTAURANT,1722 Desire Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-581-4372
San Gabriel,酒菜吧,AREA DNA GRILL & BAR,250 W. Valley Bl. #P,RESTAURANTS-CHINESE FOOD,餐飲食品,626-282-9900
City of Industry,亞洲自助餐,ASIA BUFFET,18268 E. Gale Ave.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-581-8292
Torrance,亞廚飯店,ASIA KITCHEN RESTAURANT,3523 W. Artesia Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,310-516-1260
Irvine,饗宴,ASIAN TAPAS,6380 Irvine Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,949-651-8999
Monterey Park,黃金閣海鮮酒樓,ATLANTIC SEAFOOD & DIMSUM RESTAURANT,500 N. Atlantic Blvd. #200,RESTAURANTS-CHINESE FOOD,餐飲食品,626-872-0388
Arcadia,黃金地,AU 79 - TEA HOUSE,815 W. Naomi Ave. #G,RESTAURANTS-CHINESE FOOD,餐飲食品,626-574-7665
San Gabriel,黃金地,AU 79 - TEA SPIRIT,1365 S. San Gabriel Bl. #E,RESTAURANTS-CHINESE FOOD,餐飲食品,626-569-9462
N. Hollywood,萬樂燒臘粉麵家,B.B.Q. UNLIMITED,12980 Sherman Way Bl. #1,RESTAURANTS-CHINESE FOOD,餐飲食品,818-765-7725
Temple City,酷啤酒屋,B2O,8841 E. Las Tunas Dr.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-285-6920
Alhambra,竹園小館,BAMBOO GARDEN CHINESE RESTAURA,2632 W. Valley Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-458-9668
Alhambra,上竹林,BAMBOO HOUSE RESTAURANT & BAR,2718 W. Valley Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-458-8888
Rowland Hts.,香蕉船,BANANA CAFE,1015 S. Nogales St. #108,RESTAURANTS-CHINESE FOOD,餐飲食品,626-965-3166
San Gabriel,馬德望海鮮酒家,BATTAMBANG SEAFOOD RESTAURANT,1806 S. San Gabriel Bl.,RESTAURANTS-CHINESE FOOD,餐飲食品,626-307-3938
San Gabriel,蓬菜閣,BEIJING DUCK HOUSE,6420 Rosemead Bl,RESTAURANTS-CHINESE FOOD,餐飲食品,626-286-5508
City of Industry,京味軒,BEIJING PAVILION RESTAURANT,1390 Fullerton Rd. #101,RESTAURANTS-CHINESE FOOD,餐飲食品,626-810-8866
Milpitas,京味軒,BEIJING PAVILION RESTAURANT,76 S. Abel St,RESTAURANTS-CHINESE FOOD,餐飲食品,408-262-9439
Monterey Park,大餡餅,BEIJING PIE HOUSE,846 E. Garvey Ave. #A,RESTAURANTS-CHINESE FOOD,餐飲食品,626-288-3818
San Gabriel,同順居,BEIJING RESTAURANT,250 W. Valley Bl. #B2,RESTAURANTS-CHINESE FOOD,餐飲食品,626-570-8598
San Gabriel,本色許留山美食,BENSER NOODLE,250 W. Valley Bl. #A,RESTAURANTS-CHINESE FOOD,餐飲食品,626-282-8263
Walnut,大三元便當大王,BENTO KING CORP,20971 Currier Rd. #D,RESTAURANTS-CHINESE FOOD,餐飲食品,909-598-8883
Rowland Hts.,新世紀雲南過橋米線,BEST HOUSE NOODLE,1015 S. Nogales St. #130,RESTAURANTS-CHINESE FOOD,餐飲食品,626-964-6018
