#1 PHO牛肉粉	#1 PHO NOODLE & GRILL	1380 S. Fullerton Rd. #104	Rowland Hts.	餐飲食品	RESTAURANTS-VIETNAMESE
順橋碎米飯餐廳	COM TAM THUAN KIEU	120 E. Valley Bl.	San Gabriel	餐飲食品	RESTAURANTS-VIETNAMESE
東源飯店	DONG NGUYEN RESTAURANT	1433 E. Valley Bl.	Alhambra	餐飲食品	RESTAURANTS-VIETNAMESE
越南餐室	GOLDEN DELI	815 W. Las Tunas Dr.	San Gabriel	餐飲食品	RESTAURANTS-VIETNAMESE
海南餐室	HAI NAM SAI GON	1425 E. Valley Bl.	Alhambra	餐飲食品	RESTAURANTS-VIETNAMESE
海防北寧雞粉	HP PHO GA BAC NINH	8930 Mission Dr.#102	Rosemead	餐飲食品	RESTAURANTS-VIETNAMESE
紅龍越南和粉	KIMMY'S VIETNAMESE NOODLE	14932 Bushard St	Westminster	餐飲食品	RESTAURANTS-VIETNAMESE
李錦基越南餐廳	LEE KAM KEE VIETNAMESE RESTAURANT	2505 W. Valley Bl.	Alhambra	餐飲食品	RESTAURANTS-VIETNAMESE
聯發餐館	LIEN PHAT RESTAURANT	8150 E. Garvey Ave. #117F	Rosemead	餐飲食品	RESTAURANTS-VIETNAMESE
祿鼎記	LUC DINH KY RESTAURANT	9812 Bolsa Ave. #100	Westminster	餐飲食品	RESTAURANTS-VIETNAMESE
金塔	LUCKY K.T. NOODLE FACTORY	10925 Smith Rd.	El Monte	餐飲食品	RESTAURANTS-VIETNAMESE
綿義餐室	MIEN NGHIA NOODLE EXPRESS	304 Ord St.	Los Angeles	餐飲食品	RESTAURANTS-VIETNAMESE
綿義餐室	MIEN NGHIA NOODLE EXPRESS	7755 E. Garvey Ave.	Rosemead	餐飲食品	RESTAURANTS-VIETNAMESE
	MY HANH RESTAURANT	8450 E. Garvey Ave. #102	Rosemead	餐飲食品	RESTAURANTS-VIETNAMESE
美順南越餐廳	MY HANH VIETNAMESE RESTAURANT	9611 E. Garvey Ave. #109	S. El Monte	餐飲食品	RESTAURANTS-VIETNAMESE
新牛肉粉之王	NEW NOODLE CITY	628 W. Valley Bl.	Alhambra	餐飲食品	RESTAURANTS-VIETNAMESE
