city,name_chinese,name_english,address,category_2,category_1,number
El Monte,美德素齋,MERIT VEGGIE PLACE,11022 Lower Azusa Rd.,RESTAURANTS-VEGETARIAN,餐飲食品,626-279-2098
Arcadia,芽菜坊素食小館,BEAN SPROUTS VEGETARIAN RESTAURANT,103 E. Huntington Dr.,RESTAURANTS-VEGETARIAN,餐飲食品,626-254-8708
San Gabriel,巧園素菜餐廳,FINE GARDEN VEGETARIAN CUISINE,841 W. Las Tunas Dr.,RESTAURANTS-VEGETARIAN,餐飲食品,626-282-2282
Hacienda Hts.,新澄慧素食,GARDEN FRESH VEGETARIAN FOOD,16034 Gale Ave.,RESTAURANTS-VEGETARIAN,餐飲食品,626-968-2279
San Gabriel,御素坊,GOURMET VEGETARIAN RESTAURANT,140 W. Valley Bl. #222,RESTAURANTS-VEGETARIAN,餐飲食品,626-280-5998
San Bernardino,欣園素菜館,HAPPY FAMILY VEGETARIAN RESTAU,2150 S. Waterman Ave.,RESTAURANTS-VEGETARIAN,餐飲食品,909-783-8928
Costa Mesa,欣園素菜館,HAPPY FAMILY VEGETARIAN RESTAU,1400 Bristol St.,RESTAURANTS-VEGETARIAN,餐飲食品,714-668-9288
Rowland Hts.,欣園素菜館,HAPPY FAMILY VEGETARIAN RESTAU,18425 E. Colima Rd. 2nd Fl.,RESTAURANTS-VEGETARIAN,餐飲食品,626-965-9923
Rowland Hts.,寬心園素菜餐廳,HAPPY VEGGIE GARDEN,1015 S. Nogales St. #127A,RESTAURANTS-VEGETARIAN,餐飲食品,626-810-2298
Alhambra,愛家國際連鎖素食餐飲,LOVING HUT - VEGAN / VEGETARIA,621 W. Main St.,RESTAURANTS-VEGETARIAN,餐飲食品,626-289-2684
Rosemead,新欣園素菜館,NEW HAPPY FAMILY RESTAURANT,8632 E. Valley Bl. #E,RESTAURANTS-VEGETARIAN,餐飲食品,626-288-5786
West Covina,ONE WORLD素餐館,ONE WORLD VEGETARIAN CUISINE,178 S. Glendora Ave.,RESTAURANTS-VEGETARIAN,餐飲食品,626-917-2727
Arcadia,一品齋,SUPREME VEGETARIAN CUISINE,558 W. Las Tunas Dr.,RESTAURANTS-VEGETARIAN,餐飲食品,626-445-8882
Granada Hills,天香素菜館,VEGETABLE DELIGHT RESTAURANT,17823 Chatsworth St.,RESTAURANTS-VEGETARIAN,餐飲食品,818-360-3997
Pasadena,新概念健康素食,VEGGIE & TEA HOUSE,1055 E. Clorado Bl. #102,RESTAURANTS-VEGETARIAN,餐飲食品,626-440-0088
Upland,愛家素食餐廳,VEGGIE ERA,903 W. Foothill Bl. #B,RESTAURANTS-VEGETARIAN,餐飲食品,909-982-3882
Los Angeles,,VEGGIE GRILL,8000 W Sunset Bl,RESTAURANTS-VEGETARIAN,餐飲食品,323-822-7575
Cerritos,素香緣,VEGI WOKERY,11329 183rd St.,RESTAURANTS-VEGETARIAN,餐飲食品,562-809-3928
El Monte,美德素齋,MERIT VEGGIE PLACE,11022 Lower Azusa Rd.,RESTAURANTS-VEGETARIAN,餐飲食品,626-279-2098
Rowland Hts.,寬心園素菜餐廳,HAPPY VEGGIE GARDEN,1015 S. Nogales St. #127A,RESTAURANTS-VEGETARIAN,餐飲食品,626-810-2298
Arcadia,芽菜坊素食小館,BEAN SPROUTS VEGETARIAN RESTAURANT,103 E. Huntington Dr.,RESTAURANTS-VEGETARIAN,餐飲食品,626-254-8708
Pasadena,新概念健康素食,VEGGIE & TEA HOUSE,1055 E. Clorado Bl. #102,RESTAURANTS-VEGETARIAN,餐飲食品,626-440-0088
Cerritos,素香緣,VEGI WOKERY,11329 183rd St.,RESTAURANTS-VEGETARIAN,餐飲食品,562-809-3928
San Gabriel,御素坊,GOURMET VEGETARIAN RESTAURANT,140 W. Valley Bl. #222,RESTAURANTS-VEGETARIAN,餐飲食品,626-280-5998
Costa Mesa,欣園素菜館,HAPPY FAMILY VEGETARIAN RESTAU,1400 Bristol St.,RESTAURANTS-VEGETARIAN,餐飲食品,714-668-9288
Hacienda Hts.,新澄慧素食,GARDEN FRESH VEGETARIAN FOOD,16034 Gale Ave.,RESTAURANTS-VEGETARIAN,餐飲食品,626-968-2279
West Covina,ONE WORLD素餐館,ONE WORLD VEGETARIAN CUISINE,178 S. Glendora Ave.,RESTAURANTS-VEGETARIAN,餐飲食品,626-917-2727
Granada Hills,天香素菜館,VEGETABLE DELIGHT RESTAURANT,17823 Chatsworth St.,RESTAURANTS-VEGETARIAN,餐飲食品,818-360-3997
Rowland Hts.,欣園素菜館,HAPPY FAMILY VEGETARIAN RESTAU,18425 E. Colima Rd. 2nd Fl.,RESTAURANTS-VEGETARIAN,餐飲食品,626-965-9923
San Bernardino,欣園素菜館,HAPPY FAMILY VEGETARIAN RESTAU,2150 S. Waterman Ave.,RESTAURANTS-VEGETARIAN,餐飲食品,909-783-8928
Arcadia,一品齋,SUPREME VEGETARIAN CUISINE,558 W. Las Tunas Dr.,RESTAURANTS-VEGETARIAN,餐飲食品,626-445-8882
Alhambra,愛家國際連鎖素食餐飲,LOVING HUT - VEGAN / VEGETARIA,621 W. Main St.,RESTAURANTS-VEGETARIAN,餐飲食品,626-289-2684
Los Angeles,,VEGGIE GRILL,8000 W Sunset Bl,RESTAURANTS-VEGETARIAN,餐飲食品,323-822-7575
San Gabriel,巧園素菜餐廳,FINE GARDEN VEGETARIAN CUISINE,841 W. Las Tunas Dr.,RESTAURANTS-VEGETARIAN,餐飲食品,626-282-2282
Rosemead,新欣園素菜館,NEW HAPPY FAMILY RESTAURANT,8632 E. Valley Bl. #E,RESTAURANTS-VEGETARIAN,餐飲食品,626-288-5786
Upland,愛家素食餐廳,VEGGIE ERA,903 W. Foothill Bl. #B,RESTAURANTS-VEGETARIAN,餐飲食品,909-982-3882
El Monte,美德素齋,MERIT VEGGIE PLACE,11022 Lower Azusa Rd.,RESTAURANTS-VEGETARIAN,餐飲食品,626-279-2098
Alhambra,愛家國際連鎖素食餐飲,LOVING HUT - VEGAN / VEGETARIA,621 W. Main St.,RESTAURANTS-VEGETARIAN,餐飲食品,626-289-2684
Arcadia,芽菜坊素食小館,BEAN SPROUTS VEGETARIAN RESTAURANT,103 E. Huntington Dr.,RESTAURANTS-VEGETARIAN,餐飲食品,626-254-8708
